cite_key,authors,year,title_short,journal,method,key_finding,innovation,citations,IF,theme_A,theme_B,theme_C,theme_D,theme_E
wan2024paradox,"Wan, Huang",2024,Paradox of Post-Pandemic Travel,Travel Behaviour and Society,Gamma GLM with log-link for journey time + longitudinal traffic count analysis,Post-pandemic car travel fell 11.6% in Cambridge but journey times rose 12% due to road space reallocation; precipitation increases car use while reducing cycling,Uses Gamma GLM (same model family as our approach) with comprehensive controls (hour/day/month/school term/weather/events/roadworks); DARe-funded Cambridge study,~5,N/A,✓,✓,-,✓,-
wan2025variability,"Wan, Zhang",2025,Variability of Transport Emissions,Int. J. Urban Sciences,Latent Profile Models + NTS diary data analysis,Intra-week variability in transport emissions is substantial; speed-emissions relationship documented (Figure A1); aggregate SEC-emissions correlation dissolves when compositional factors controlled,Latent profile approach identifies unobserved traveller groups; methodological caution for rainfall-speed studies about compositional confounding,~2,3.0,✓,-,-,✓,-
hranac2006empirical,"Hranac, Sterzin, Krechmer, Rakha, Farzaneh",2006,Empirical Studies on Traffic Flow in Inclement Weather,FHWA Technical Report,Empirical analysis of loop detector data across 3 US cities,Rain reduces free-flow speed by 2-6.5% and capacity by 4-11%; snow has larger effects,Developed weather adjustment factors for free-flow speed and speed-at-capacity and capacity and jam density,~350,N/A,✗,✓,-,✓,-
gao2024resilience,"Gao, Hu, Wang",2024,Resilience Analysis Road Traffic to Rainfall,Transportation Research Part D,Probabilistic modelling + hierarchical clustering,System resilience decreases 6.7% per 10mm rainfall increase below 50mm; 66% low-resilience segments near commercial areas,Links road environment characteristics (land use and segment length) to resilience patterns,~15,8.6,✗,✓,✓,✓,-
bergantino2024assessing,"Bergantino, Gardelli, Rotaris",2024,Assessing Transport Network Resilience: Empirical Review,Transport Reviews,Systematic literature review (53 papers from 127),Spatial patterns of resilience are influenced by network topology and land use; empirical evidence still fragmented,First systematic review focusing exclusively on empirical (real-world data) resilience studies,~20,9.9,✓,-,✓,✓,-
ganin2017resilience,"Ganin, Kitsak, Marchese, Keisler, Seager, Linkov",2017,Resilience and Efficiency in Transportation Networks,Science Advances,Network topology analysis + percolation theory,Efficient urban road networks are often fragile; resilient networks may be inefficient -- revealing a resilience-efficiency paradox,First large-scale demonstration that resilience and efficiency are distinct and sometimes competing properties of transport networks,~360,12.5,-,-,✓,-,-
calvert2018methodology,"Calvert, Snelder",2018,Methodology for Road Traffic Resilience Analysis,Transportmetrica A,Link Performance Index for Resilience (LPIR),Road section resilience depends on both resistance to and recovery from traffic disturbances; everyday events matter not just disasters,Proposes LPIR indicator covering both resistance and recovery phases for individual road sections,~130,3.1,✗,-,✓,✓,-
pregnolato2017depth,"Pregnolato, Ford, Wilkinson, Dawson",2017,Impact of Flooding on Road Transport: Depth-Disruption,Transportation Research Part D,Curve fitting to video analysis + existing data (depth-disruption function),Flood water depth has a nonlinear relationship with vehicle speed reduction (R-squared=0.95); binary open/closed assumption is inadequate,Introduces continuous depth-disruption function replacing binary flood impact assumption,~280,8.6,✗,✓,-,✓,-
farahmand2024integrating,"Farahmand, Yin, Hsu, Savadogo, Espinet Alegre, Mostafavi",2024,Integrating Climate Projections and Probabilistic Network Analysis,Transportation Research Part D,Climate downscaling + probabilistic network failure analysis,Climate projections can be integrated with network vulnerability models to identify future critical links under changing precipitation patterns,Bridges climate science projections with transport network resilience planning at regional scale,~10,8.6,✓,-,✓,-,-
he2026flood,"He, Carhart, Pregnolato, De Risi",2026,Flood-Induced Traffic Congestion: Agent-Based Simulation Bristol,Int. J. Disaster Risk Reduction,Agent-based simulation (MATSim) + risk-based speed reduction,Flood-induced congestion propagates far beyond directly flooded areas; accessibility loss is spatially uneven across Bristol,Couples flood hazard maps with agent-based dynamic traffic assignment to capture congestion cascade effects,~0,5.4,✓,✓,✓,✓,-
huang2022overview,"Huang, Cui, Zhang, Tong, Shi, Liu",2022,Overview of Agent-Based Models for Transport Simulation,J. Advanced Transportation,Systematic review of ABM tools across micro/meso/macro scales,ABMs excel at emergent behaviour but require significant computational resources; weather can be modelled as autonomous 'disruptor agent'; MATSim/SUMO/TRANSIMS dominate; BDI and PECS frameworks underused,Comprehensive taxonomy of ABM toolkits with time-scale classification; identifies weather-as-disruptor-agent pattern; supports empirical approaches as faster alternative for operational analysis,~45,2.5,-,-,-,✓,-
unece2024stress,UNECE,2024,Stress Test Framework for Transport System Resilience,UNECE Technical Report,Stress testing framework (qualitative + quantitative),Standardized stress testing can identify critical transport system vulnerabilities to climate hazards and guide adaptation investment,First international standardized framework for transport system climate resilience stress testing,N/A,N/A,✓,-,✓,-,-
dft2024rea,Department for Transport,2024,Climate Change and Transport Infrastructure: REA,UK Government Report,Rapid Evidence Assessment (34 papers from 158 screened),Adaptation benefits outweigh costs; precipitation reduces visibility and speed (not just closures); 2012 Newcastle flood: 377 road links flooded from 50mm in <2hrs; macro costs = 2.2x direct repair costs; QUADRO model for pricing delay,Comprehensive UK evidence synthesis explicitly identifying speed degradation (not just closure) as recognised impact pathway; cost-benefit framework for adaptation investment,N/A,N/A,✓,✓,-,-,-
